City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
170,Santuario,CO,6.1383,-75.2642,64.22,82,75,2.3,broken clouds
171,Santiago De Cao,PE,-7.9589,-79.2392,66.33,88,90,8.05,overcast clouds
172,Belmonte,BR,-15.8631,-38.8828,73.9,88,0,4.45,clear sky
173,Sao Filipe,CV,14.8961,-24.4956,71.96,80,22,5.73,few clouds
174,Izhma,RU,65.0083,53.9113,48.6,91,100,2.91,overcast clouds
175,Saint-Philippe,RE,-21.3585,55.7679,65.79,72,99,9.26,overcast clouds
176,Grand Gaube,MU,-20.0064,57.6608,70.86,61,70,17.56,broken clouds
177,Campbell River,CA,50.0163,-125.2446,82.26,35,100,1.01,overcast clouds
178,Clyde River,CA,70.4692,-68.5914,35.55,93,56,8.12,broken clouds
179,Thompson,CA,55.7435,-97.8558,54.32,44,97,4.97,overcast clouds
180,Guadalupe Y Calvo,MX,26.1,-106.9667,63.25,88,100,5.32,overcast clouds
181,Ciudad Bolivar,VE,8.1222,-63.5497,78.1,80,100,7.07,overcast clouds
182,Abong Mbang,CM,3.9833,13.1833,64.13,100,100,2.55,overcast clouds
183,Kudahuvadhoo,MV,2.6708,72.8944,82.81,75,61,13.6,broken clouds
184,Morondava,MG,-20.2833,44.2833,67.14,63,0,9.24,clear sky
185,Hobyo,SO,5.3505,48.5268,76.21,83,60,24.32,broken clouds
186,Awjilah,LY,29.1081,21.2869,79.3,38,0,7.9,clear sky
187,Muli,MV,2.9167,73.5667,82.58,76,33,13.62,scattered clouds
188,Sol-Iletsk,RU,51.1631,54.9918,67.42,63,0,1.77,clear sky
189,Ilulissat,GL,69.2167,-51.1,44.62,65,0,5.75,clear sky
190,Carutapera,BR,-1.195,-46.02,74.5,93,9,5.79,clear sky
191,Ola,RU,59.5833,151.2833,55.67,58,45,5.23,scattered clouds
192,Novaya Lyada,RU,52.7131,41.6387,65.16,80,3,5.01,clear sky
193,Saint Leonard,CA,47.173,-67.9247,74.8,94,100,10.27,moderate rain
194,Celestun,MX,20.8667,-90.4,88.68,60,100,6.31,overcast clouds
195,Upernavik,GL,72.7868,-56.1549,37.15,68,3,3.24,clear sky
196,Codrington,AU,-38.2667,141.9667,52.7,68,100,11.21,overcast clouds
197,Coria,ES,39.9879,-6.5377,57.45,78,10,3.4,clear sky
198,Olinda,BR,-8.0089,-34.8553,76.73,69,20,2.3,few clouds
199,Marquette,US,46.5333,-87.6335,53.04,71,89,7.23,overcast clouds
200,Umm Kaddadah,SD,13.6017,26.6876,85.89,37,100,12.37,overcast clouds
201,Bambous Virieux,MU,-20.3428,57.7575,69.51,64,96,14.03,overcast clouds
202,Tongren,CN,27.7172,109.1853,76.86,85,93,0.58,light rain
203,Abnub,EG,27.2696,31.1511,84.42,27,0,8.79,clear sky
